Lastname,Firstname,Gender,Age,City,Province,Country,Your Height,Your Body Weight,Your Shoe Size,How often do you  brush your teeth in a day?,What is the number of times you floss in a week?,How many languages do you speak fluently?,How many musical instruments do you play?,What is the number of years you've been in school?,How much TV do you watch in a day?,How much time do you spend on the internet everyday?,How many apps have you downloaded on your phone?,How much time do you spend on exercising every week?,How many cell phones do you own in a year?,How many game consoles do you own?,How much do you pay for your monthly cellphone bill?,What is your monthly internet bill?,What is your monthly rent?,What is your monthly transportation spending?,How many kids do you have?,Are you vegetarian?,How much money do you spend for lunch?,What's favorite subject in highschool?,How many pets do you currently own?,How many cars do you own?,What kind of phone do you have?,What is your favorite sport?,Coca-Cola or Pepsi?,How many times do you dine at a restaurant every week?
Williams,Candice,F,25,Toronto,ON,CA,162,,7.5,,0,1,0,12,1.5,3.5,,,5,1,68,58,1700,350,1,,,Physics,3,1,Blackberry,Basketball,I Don't Care,3
Chavez,Jaziela,F,30,Toronto,ON,CA,167,60,,3,,1,0,14,,2.67,23,110,6,2,41,64,1180,100,0,Somewhat,9.5,Geography,0,1,Android,,Pepsi,1
Yohe-Ironwing,Duy,M,28,Toronto,ON,CA,,,,2,1,,0,15,1.83,,,90,4,,72,81,,350,0,,14.4,Physics,0,1,Android,,Coca Cola,
Maldodo,Winta,F,22,Toronto,ON,CA,170,68,,2,0,,0,16,1.33,2.5,41,50,5,3,,81,,350,0,No,10.3,,,1,,Football,I Don't Care,0
Sayers,Christopher,M,21,Toronto,ON,CA,166,,9.5,2,0,1,0,15,1.5,1.67,38,,,0,50,79,,,0,,0,Math,,0,,,,0
Watkins,Amanda,F,27,Toronto,ON,CA,,65,8.5,2,,,0,,2.67,2.33,39,,,0,90,,,350,0,No,0,Music,0,,,Hockey,I Don't Care,2
Quiban,Daniel,M,23,Toronto,ON,CA,173,77,6.5,2,0,,0,19,1.67,2.5,43,90,4,,71,70,1700,350,0,No,14.7,,0,1,Android,,I Don't Care,
Lau,Trevor,M,29,Toronto,ON,CA,174,,7.5,2,0,,,19,1.33,2.83,42,90,8,1,58,68,1740,260,1,No,13.5,Biology,,1,Android,Basketball,Coca Cola,
Davila,Samantha,F,22,Toronto,ON,CA,164,64,6.5,,,2,1,16,1.17,2.83,26,90,,0,54,56,1700,350,0,No,0,,0,1,Android,Basketball,,1
Huston,Domonique,F,24,Toronto,ON,CA,,62,6,2,1,2,,13,,2.33,53,110,6,1,,,1700,350,0,No,,Business,,1,,Hockey,Coca Cola,
Kim,Andrew,M,22,Toronto,ON,CA,177,,,2,0,1,,16,,2.17,38,,7,2,70,59,1700,350,0,,12.1,Physics,0,1,,Hockey,I Don't Care,3
Martin,Sidra,F,22,Toronto,ON,CA,167,65,,2,0,1,1,16,,,,100,8,3,69,63,1700,350,0,No,8.3,Chemistry,1,1,,Basketball,Pepsi,2
Brunson,Timothy,M,25,Toronto,ON,CA,,84,9,2,2,1,0,18,1.17,1.5,35,0,4,2,,77,1700,350,0,No,10.3,PhysEd,2,,,Soccer,Pepsi,1
Melton,Justin,M,26,Toronto,ON,CA,177,82,,,1,1,1,,,,37,70,2,3,94,49,1700,,1,,,Geography,0,,Android,Soccer,,3
Cournoyer,Randall,M,20,Toronto,ON,CA,176,68,8.5,2,0,1,0,14,1.33,2.33,29,60,,2,42,67,1700,,0,No,0,Languages,0,0,Android,Basketball,I Don't Care,3
Contreras,Lexus,F,24,Toronto,ON,CA,162,,7.5,,,1,0,14,1.83,2.67,13,,2,0,64,74,1700,,0,No,8.5,Music,2,1,,Football,I Don't Care,2
Lopez,Stephen,M,22,Toronto,ON,CA,161,74,7.5,2,0,2,0,16,1.83,3.17,21,40,7,0,51,66,1700,350,0,,13,Geography,0,1,Android,Hockey,Coca Cola,3
Gardner,Tien,F,25,Toronto,ON,CA,167,60,,2,0,1,0,12,2,,44,80,5,,52,,,350,,No,12.6,,0,1,Android,Basketball,,3
Woods,Benjamin,M,25,Toronto,ON,CA,179,87,8.5,2,1,2,0,18,1.17,2,24,0,3,0,,,1700,350,1,,,,1,,Android,Hockey,Pepsi,1
Zoobi,Lore,F,27,Toronto,ON,CA,167,63,7.5,3,0,1,0,,2,1.17,35,0,4,0,83,80,,350,0,No,0,,0,,,Basketball,I Don't Care,
Peckham,Eshu,M,21,Toronto,ON,CA,171,,9.5,2,0,2,0,15,1.33,,,,5,3,,47,1700,350,0,No,0,Geography,1,,Android,Basketball,Coca Cola,
Cross,Jeffrey,M,25,Toronto,ON,CA,169,78,8,2,0,1,0,18,1.5,2.67,28,70,3,0,57,80,1700,,,No,14.2,Music,0,0,Android,Hockey,I Don't Care,0
Kazemi,Ramiro,M,27,Toronto,ON,CA,173,84,9,2,0,5,0,17,2.17,2.17,27,90,,,,65,1700,,0,No,10,Computer Science and Technology,0,,,Baseball,,1
Rundle,Chanthakath,M,22,Toronto,ON,CA,178,91,,2,,1,2,16,2.33,2,,100,0,1,,50,1700,350,0,No,,Computer Science and Technology,0,,,Hockey,,
Woodruff,Richard,M,24,Toronto,ON,CA,178,106,,2,0,1,1,,,3,,0,4,0,,62,1700,350,0,No,0,,2,0,,Basketball,I Don't Care,4
Bundrant,Luis,M,23,Toronto,ON,CA,167,81,8.5,2,1,1,0,16,0.5,2,,,2,1,85,62,1720,,0,No,15.3,English,0,0,,Basketball,I Don't Care,0
Vasquez,Craynisha,F,27,Toronto,ON,CA,167,63,7,,0,,0,16,,1.67,,0,2,2,66,73,1830,350,0,,,Chemistry,2,0,,,,1
White,Lauren,F,24,Toronto,ON,CA,,,8.5,2,0,2,0,17,2.5,1.67,20,,4,0,81,73,1800,350,0,No,13.2,Math,1,1,,,,0
Hicks,Lee,F,25,Toronto,ON,CA,,66,,2,0,1,0,20,1.83,2.17,7,,0,,37,,,,1,No,9.1,Visual Arts,0,0,,Hockey,Pepsi,
Chase,Jacob,M,28,Toronto,ON,CA,174,76,,2,,3,,16,2.17,,26,,,0,117,83,1700,350,,No,,Business,0,0,Android,Baseball,Coca Cola,1
Munk,Joe,M,24,Toronto,ON,CA,174,78,7.5,,1,2,0,,2.17,,,0,,,75,60,1700,,,,10.7,Computer Science and Technology,,,,Hockey,I Don't Care,
Escalera,Shalamar,F,20,Toronto,ON,CA,165,57,8,2,1,1,1,14,2.33,,,50,3,,76,69,1700,350,,,,History,1,0,,Basketball,,4
Johnson,Kathryn,F,24,Toronto,ON,CA,163,65,8.5,2,1,1,,19,2.5,2.83,45,80,3,0,,73,1700,350,0,No,,Business,2,0,Android,,,4
Vazquez,Paloma,F,28,Toronto,ON,CA,164,62,6.5,3,1,,1,,1.67,2.33,45,0,4,2,,55,1700,350,1,,0,,2,0,Android,Football,,1
Forbes,Dold,M,21,Toronto,ON,CA,180,81,7.5,2,1,1,1,15,1.83,3.17,36,,,,,,1700,350,,Somewhat,0,History,1,1,Android,Soccer,Pepsi,1
Mccabe,Precha,M,20,Toronto,ON,CA,179,85,9.5,2,0,,0,14,1.33,2.33,,0,2,0,68,68,,350,,No,0,Chemistry,1,0,Android,Hockey,I Don't Care,1
Moreno,Benjamin,M,21,Toronto,ON,CA,172,65,10.5,2,,,,15,1.33,,51,0,3,0,74,,,350,0,,0,Business,,0,,,I Don't Care,
